SuppliersInfo	Информация_о_поставщике

__typelegalEntityRFindividualPersonRFIndEntrindividualPersonRFindividualPersonRFIndEntrisCultureindividualPersonRFisCulturelegalEntityForeignStateindividualPersonForeignStateindividualPersonForeignStateisCulture	Тип
EGRULInfo[OGRN]	ОГРН
EGRULInfo[legalForm]	Организационно_правовая_форма_организации
EGRULInfo[fullName]	Полное_наименование
EGRULInfo[shortName]	Сокращенное_наименование
EGRULInfo[firmName]	Фирменное_наименование
EGRULInfo[INN]	ИНН
EGRULInfo[KPP]	КПП
EGRULInfo[registrationDate]	Дата_постановки_на_учет_в_налоговом_органе
EGRULInfo[address]	Адрес_места_нахождения
EGRULInfo[adress]	Адрес_места_нахождения
isSubdivision	Является_филиалом_юридического_лица_РФ
otherInfo[status]	Статус_поставщика
otherInfo[ERSMSPInclusionDate]	Дата_включения_в_Единый_реестр
otherInfo[contractPrice]	Размер_денежных_средств_благотворительность
otherInfo[OKPO]	ОКПО
otherInfo[OKTMO]	ОКТМО
otherInfo[personalAccount]	Номер_лицевого_счета
otherInfo[postAdressInfo][mailingAdress]	Почтовый_адрес_пользователя
otherInfo[postAdressInfo][mailFacilityName]	Наименование_объекта_почтовой_связи
otherInfo[postAdressInfo][postBoxNumber]	Номер_ячейки_абонементного_почтового_шкафа
otherInfo[postAddressInfo][mailingAdress]	Почтовый_адрес_пользователя
otherInfo[postAddressInfo][mailFacilityName]	Наименование_объекта_почтовой_связи
otherInfo[postAddressInfo][postBoxNumber]	Номер_ячейки_абонементного_почтового_шкафа
contactInfo	Контактная_информация
contactEMail	E_mail_адрес_контактного_лица
contactPhone	Телефон_контактного_лица
largestTaxpayerKPP	КПП_крупнейшего_налогоплательщика
EGRIPInfo[OGRNIP]	ОГРНИП
EGRIPInfo[lastName]	Фамилия
EGRIPInfo[firstName]	Имя
EGRIPInfo[middleName]	Отчество
otherInfo[isIP]	Индивидуальный_предприниматель
lastName	Фамилия
firstName	Имя
middleName	Отчество
INN	ИНН
registrationDate	Дата_постановки_на_учет_в_налоговом_органе
status	Статус_поставщика
ERSMSPInclusionDate	Дата_включения_в_Единый_реестр
OKTMO	ОКТМО
personalAccount	Номер_лицевого_счета
address	Адрес_места_нахождения
postAddressInfo[mailingAdress]	Почтовый_адрес_пользователя
postAddressInfo[mailFacilityName]	Наименование_объекта_почтовой_связи
postAddressInfo[postBoxNumber]	Номер_ячейки_абонементного_почтового_шкафа
postAddress	Почтовый_адрес
fullName	Полное_наименование
shortName	Сокращенное_наименование
firmName	Фирменное_наименование
fullNameLat	Полное_наименование_латинскими_буквами
taxPayerCode	Код_налогоплательщика_в_стране_регистрации
registerInRFTaxBodies[INN]	ИНН
registerInRFTaxBodies[KPP]	КПП
registerInRFTaxBodies[registrationDate]	Дата_постановки_на_учет_в_налоговом_органе
placeOfStayInRegCountry[country]	Страна_регистрации
placeOfStayInRegCountry[address]	Адрес_места_нахождения_в_стране_регистрации
placeOfStayInRegCountry[postAddress]	Почтовый_адрес_в_стране_регистрации
placeOfStayInRegCountry[contactEMail]	Электронная_почта
placeOfStayInRegCountry[contactPhone]	Телефон_в_стране_регистрации
placeOfStayInRF[OKTMO]	ОКТМО
placeOfStayInRF[address]	Адрес_места_нахождения
placeOfStayInRF[postAdressInfo][mailingAdress]	Почтовый_адрес_пользователя
placeOfStayInRF[postAdressInfo][mailFacilityName]	Наименование_объекта_почтовой_связи
placeOfStayInRF[postAdressInfo][postBoxNumber]	Номер_ячейки_абонементного_почтового_шкафа
placeOfStayInRF[postAddressInfo][mailingAdress]	Почтовый_адрес_пользователя
placeOfStayInRF[postAddressInfo][mailFacilityName]	Наименование_объекта_почтовой_связи
placeOfStayInRF[postAddressInfo][postBoxNumber]	Номер_ячейки_абонементного_почтового_шкафа
placeOfStayInRF[contactEMail]	E_mail_адрес_контактного_лица
placeOfStayInRF[contactPhone]	Телефон_контактного_лица
lastNameLat	Фамилия_латинскими_буквами
firstNameLat	Имя_латинскими_буквами
middleNameLat	Отчество_латинскими_буквами
registerInRFTaxBodies[status]	Статус_поставщика
registerInRFTaxBodies[ERSMSPInclusionDate]	Дата_включения_в_Единый_реестр
registerInRFTaxBodies[isIP]	Индивидуальный_предприниматель
[supplierAccountsDetails][supplierAccountDetails]__AccountDetails	Реквизиты_счета
